ID,SKU,Fiyat (TL),Stok,Adet,Ürün Adı,URL
1809,60397,1439,Tükendi,0,"60397 LEGO® LEGO City Canavar Kamyon Yarışı","https://lego.tr/product/60397-lego-lego-city-canavar-kamyon-yarisi"
1817,60337,9799,Mevcut,8,"60337 LEGO City Ekspres Yolcu Treni","https://lego.tr/product/60337-lego-city-ekspres-yolcu-treni"
1826,60423,5399,Mevcut,9,"60423 LEGO® City Şehir Merkezi Tramvay İstasyonu","https://lego.tr/product/60423-lego-city-sehir-merkezi-tramvay-istasyonu"
1834,60391,2899,Tükendi,0,"60391 LEGO® City İnşaat Kamyonları ve Yıkım Gülleli Vinç","https://lego.tr/product/60391-lego-city-insaat-kamyonlari-ve-yikim-gulleli-vinc"
1842,60368,9099,Tükendi,0,"60368 LEGO® City Kutup Keşif Gemisi","https://lego.tr/product/60368-lego-city-kutup-kesif-gemisi"
1850,60365,5199,Mevcut,3,"60365 LEGO® City Apartman Binası","https://lego.tr/product/60365-lego-city-apartman-binasi"
1858,60374,3499,Mevcut,3,"60374 LEGO® City İtfaiye Komuta Kamyonu","https://lego.tr/product/60374-lego-city-itfaiye-komuta-kamyonu"
1867,60373,1159,Tükendi,0,"60373 LEGO® City İtfaiye Kurtarma Teknesi","https://lego.tr/product/60373-lego-city-itfaiye-kurtarma-teknesi"
1876,60369,1099,Tükendi,0,"60369 LEGO® City Mobil Polis Köpeği Eğitimi","https://lego.tr/product/60369-lego-city-mobil-polis-kopegi-egitimi"
1885,11025,519,Mevcut,560,"11025 LEGO Classic Mavi Plaka  (Zemin)","https://lego.tr/product/11025-lego-classic-mavi-plaka-zemin"
1892,11023,519,Mevcut,91,"11023 LEGO® Classic Yeşil Plaka (Zemin)","https://lego.tr/product/11023-lego-classic-yesil-plaka-zemin"
1899,60440,6099,Tükendi,0,"60440 LEGO® City Sarı Dağıtım Kamyonu","https://lego.tr/product/60440-lego-city-sari-dagitim-kamyonu"
1907,60437,6399,Mevcut,11,"60437 LEGO® City Orman Kaşifinin Helikopteri Kamp Yerinde","https://lego.tr/product/60437-lego-city-orman-kasifinin-helikopteri-kamp-yerinde"
1915,60426,1999,Mevcut,11,"60426 LEGO® City Orman Kaşifinin Arazi Kamyonu","https://lego.tr/product/60426-lego-city-orman-kasifinin-arazi-kamyonu"
1923,60422,7199,Mevcut,5,"60422 LEGO® City Yük Gemili Liman","https://lego.tr/product/60422-lego-city-yuk-gemili-liman"
1931,60420,3499,Tükendi,0,"60420 LEGO® City Sarı İnşaat Ekskavatörü","https://lego.tr/product/60420-lego-city-sari-insaat-ekskavatoru"
1939,60407,1799,Mevcut,16,"60407 LEGO® City Kırmızı İki Katlı Gezi Otobüsü","https://lego.tr/product/60407-lego-city-kirmizi-iki-katli-gezi-otobusu"
1947,30665,299,Mevcut,25,"30665 LEGO® City Yavru Goril Karşılaşması","https://lego.tr/product/30665-lego-city-yavru-goril-karsilasmasi"
1951,60434,9099,Tükendi,0,"60434 LEGO® City Uzay Üssü ve Roket Fırlatma Rampası","https://lego.tr/product/60434-lego-city-uzay-ussu-ve-roket-firlatma-rampasi"
1959,60433,6399,Mevcut,83,"60433 LEGO® City Modüler Uzay İstasyonu","https://lego.tr/product/60433-lego-city-moduler-uzay-istasyonu"
1975,60429,1199,Mevcut,2,"60429 LEGO® City Uzay Gemisi ve Asteroit Keşfi","https://lego.tr/product/60429-lego-city-uzay-gemisi-ve-asteroit-kesfi"
1983,60418,3199,Tükendi,0,"60418 LEGO® City Polis Mobil Suç Laboratuvarı Kamyonu","https://lego.tr/product/60418-lego-city-polis-mobil-suc-laboratuvari-kamyonu"
1991,60415,1159,Mevcut,1,"60415 LEGO® City Polis Arabası ve Spor Araba Takibi","https://lego.tr/product/60415-lego-city-polis-arabasi-ve-spor-araba-takibi"
1999,60414,4799,Tükendi,0,"60414 LEGO® City İtfaiye Kamyonlu İtfaiye Merkezi","https://lego.tr/product/60414-lego-city-itfaiye-kamyonlu-itfaiye-merkezi"
2007,60413,3499,Tükendi,0,"60413 LEGO® City İtfaiye Kurtarma Uçağı","https://lego.tr/product/60413-lego-city-itfaiye-kurtarma-ucagi"
2015,60412,1799,Tükendi,0,"60412 LEGO® City 4x4 Kurtarma Botlu İtfaiye Kamyonu","https://lego.tr/product/60412-lego-city-4x4-kurtarma-botlu-itfaiye-kamyonu"
2023,60410,479,Tükendi,0,"60410 LEGO® City İtfaiye Kurtarma Motosikleti","https://lego.tr/product/60410-lego-city-itfaiye-kurtarma-motosikleti"
2031,60406,1999,Tükendi,0,"60406 LEGO® City Yarış Arabası ve Araba Taşıyıcı Kamyon","https://lego.tr/product/60406-lego-city-yaris-arabasi-ve-araba-tasiyici-kamyon"
2039,60401,649,Mevcut,12,"60401 LEGO® City Yol Silindiri","https://lego.tr/product/60401-lego-city-yol-silindiri"
2047,60400,579,Mevcut,5,"60400 LEGO® City Go-Kartlar ve Yarış Sürücüleri","https://lego.tr/product/60400-lego-city-go-kartlar-ve-yaris-suruculeri"
2055,60351,9999,Mevcut,2,"60351 LEGO City Roket Fırlatma Merkezi","https://lego.tr/product/60351-lego-city-roket-firlatma-merkezi"
2064,60312,579,Mevcut,29,"60312 LEGO® City Polis Arabası","https://lego.tr/product/60312-lego-city-polis-arabasi"
2072,4878,1159,Mevcut,4,"60304 LEGO City Yol Zeminleri","https://lego.tr/product/60304-road-plates"
2080,60238,1159,Mevcut,5,"60238 LEGO City Değiştiren Makaslar","https://lego.tr/product/60238-lego-city-degistiren-makaslar"
2088,3203,11999,Mevcut,47,"60198 LEGO City Kargo Treni","https://lego.tr/product/60198-lego-city-kargo-treni"
2094,60205,1159,Mevcut,1,"60205 LEGO City Raylar","https://lego.tr/product/60205-lego-city-raylar"
2101,60472,4599,Tükendi,0,"60472 LEGO® City Hurdalık ve Arabalar","https://lego.tr/product/60472-lego-city-hurdalik-ve-arabalar"
2109,60454,1799,Mevcut,5,"60454 LEGO® City Tatil Macera Karavanı","https://lego.tr/product/60454-lego-city-tatil-macera-karavani"
2117,60447,1159,Mevcut,5,"60447 LEGO® City 4x4 Arazi Dağ Arabası","https://lego.tr/product/60447-lego-city-4x4-arazi-dag-arabasi"
2125,60439,2299,Tükendi,0,"60439 LEGO® City Uzay Bilim Laboratuvarı","https://lego.tr/product/60439-lego-city-uzay-bilim-laboratuvari"
2133,60467,4799,Tükendi,0,"60467 LEGO® City Vinçli Ağır Vasıta Kurtarma Çekici Kamyonu","https://lego.tr/product/60467-lego-city-vincli-agir-vasita-kurtarma-cekici-kamyonu"
2141,60456,1799,Tükendi,0,"60456 LEGO® City Polis Teknesi Takibi","https://lego.tr/product/60456-lego-city-polis-teknesi-takibi"
2149,60455,579,Tükendi,0,"60455 LEGO® City Polis Motosikleti Takibi","https://lego.tr/product/60455-lego-city-polis-motosikleti-takibi"
2172,60396,1349,Tükendi,0,"60396 LEGO® LEGO City Modifiye Yarış Arabaları","https://lego.tr/product/60396-lego-lego-city-modifiye-yaris-arabalari"
2180,60395,1439,Tükendi,0,"60395 LEGO® LEGO City Kombo Yarış Paketi","https://lego.tr/product/60395-lego-lego-city-kombo-yaris-paketi"
2188,60336,14999,Tükendi,0,"60336 LEGO City Yük Treni","https://lego.tr/product/60336-lego-city-yuk-treni"
2197,60335,4899,Tükendi,0,"60335 LEGO City Tren İstasyonu","https://lego.tr/product/60335-lego-city-tren-istasyonu"
2206,30590,289,Tükendi,0,"30590 LEGO City Çiftlik Bahçesi ve Korkuluk","https://lego.tr/product/30590-lego-city-ciftlik-bahcesi-ve-korkuluk"
2209,60354,1399,Tükendi,0,"60354 LEGO City Mars Uzay Aracı Keşif Görevleri","https://lego.tr/product/60354-lego-city-mars-uzay-araci-kesif-gorevleri"
2216,60379,5199,Tükendi,0,"60379 LEGO® City Derin Deniz Keşif Denizaltısı","https://lego.tr/product/60379-lego-city-derin-deniz-kesif-denizaltisi"
2224,60378,4099,Tükendi,0,"60378 LEGO® City Kutup Keşif Kamyonu ve Mobil Laboratuvarı","https://lego.tr/product/60378-lego-city-kutup-kesif-kamyonu-ve-mobil-laboratuvari"
2232,60366,5199,Tükendi,0,"60366 LEGO® City Kayak ve Dağcılık Merkezi","https://lego.tr/product/60366-lego-city-kayak-ve-dagcilik-merkezi"
2240,60364,2799,Tükendi,0,"60364 LEGO® City Sokak Kaykay Parkı","https://lego.tr/product/60364-lego-city-sokak-kaykay-parki"
2248,60363,1799,Tükendi,0,"60363 LEGO® City Dondurma Dükkanı","https://lego.tr/product/60363-lego-city-dondurma-dukkani"
2256,30640,289,Tükendi,0,"30640 LEGO® City Yarış Arabası","https://lego.tr/product/30640-lego-city-yaris-arabasi"
2260,60392,449,Tükendi,0,"60392 LEGO® City Polis Motosikleti Araba Takibi","https://lego.tr/product/60392-lego-city-polis-motosikleti-araba-takibi"
2269,60390,399,Tükendi,0,"60390 LEGO® City Park Traktörü","https://lego.tr/product/60390-lego-city-park-traktoru"
2278,60389,1999,Tükendi,0,"60389 LEGO® City Araç Modifiye Atölyesi","https://lego.tr/product/60389-lego-city-arac-modifiye-atolyesi"
2287,60387,1499,Tükendi,0,"60387 LEGO® City 4x4 Arazi Aracı Maceraları","https://lego.tr/product/60387-lego-city-4x4-arazi-araci-maceralari"
2296,60386,1599,Tükendi,0,"60386 LEGO® City Geri Dönüşüm Kamyonu","https://lego.tr/product/60386-lego-city-geri-donusum-kamyonu"
2305,60385,699,Tükendi,0,"60385 LEGO® City İnşaat Kazıcısı","https://lego.tr/product/60385-lego-city-insaat-kazicisi"
2314,60384,959,Tükendi,0,"60384 LEGO® City Penguen Buzlaş Arabası","https://lego.tr/product/60384-lego-city-penguen-buzlas-arabasi"
2323,60382,399,Tükendi,0,"60382 LEGO® City Veteriner Kurtarma Aracı","https://lego.tr/product/60382-lego-city-veteriner-kurtarma-araci"
2332,60375,1349,Tükendi,0,"60375 LEGO® City İtfaiye Merkezi ve İtfaiye Kamyonu","https://lego.tr/product/60375-lego-city-itfaiye-merkezi-ve-itfaiye-kamyonu"
2341,60370,1349,Tükendi,0,"60370 LEGO® City Polis Merkezi Takibi","https://lego.tr/product/60370-lego-city-polis-merkezi-takibi"
2350,30639,299,Tükendi,0,"30639 LEGO® City Köpek Parkı ve Scooter","https://lego.tr/product/30639-lego-city-kopek-parki-ve-scooter"
2354,30638,289,Tükendi,0,"30638 LEGO® City Polis Bisiklet Eğitimi","https://lego.tr/product/30638-lego-city-polis-bisiklet-egitimi"
2358,11026,519,Mevcut,45,"11026 LEGO Classic Beyaz Plaka  (Zemin)","https://lego.tr/product/11026-lego-classic-beyaz-plaka-zemin"
2365,11024,869,Mevcut,12,"11024 LEGO Classic Gri Plaka  (Zemin)","https://lego.tr/product/11024-lego-classic-gri-plaka-zemin"
2372,60409,6449,Tükendi,0,"60409 LEGO® City Sarı Mobil İnşaat Vinci","https://lego.tr/product/60409-lego-city-sari-mobil-insaat-vinci"
2380,60421,6399,Tükendi,0,"60421 LEGO® LEGO City Robot Dünyası Hız Treni Parkı","https://lego.tr/product/60421-lego-lego-city-robot-dunyasi-hiz-treni-parki"
2388,60435,1199,Tükendi,0,"60435 LEGO® City Çekici Kamyon ve Spor Araba Tamiri","https://lego.tr/product/60435-lego-city-cekici-kamyon-ve-spor-araba-tamiri"
2396,60425,1119,Tükendi,0,"60425 LEGO® City Orman Kaşifinin Deniz Uçağı","https://lego.tr/product/60425-lego-city-orman-kasifinin-deniz-ucagi"
2404,60424,479,Tükendi,0,"60424 LEGO® City Orman Kaşifinin ATV’li Kırmızı Panda Görevi","https://lego.tr/product/60424-lego-city-orman-kasifinin-atvli-kirmizi-panda-gorevi"
2412,60432,3499,Tükendi,0,"60432 LEGO® City Komuta Aracı ve Yükleyici Vinç","https://lego.tr/product/60432-lego-city-komuta-araci-ve-yukleyici-vinc"
2420,60417,1489,Tükendi,0,"60417 LEGO® City Polis Sürat Teknesi ve Hırsızların Gizlenme Yeri","https://lego.tr/product/60417-lego-city-polis-surat-teknesi-ve-hirsizlarin-gizlenme-yeri"
2428,30664,299,Tükendi,0,"30664 LEGO® City Polis Arazi Aracı","https://lego.tr/product/30664-lego-city-polis-arazi-araci"
2432,60404,1159,Tükendi,0,"60404 LEGO® City Hamburger Kamyonu","https://lego.tr/product/60404-lego-city-hamburger-kamyonu"
2440,60431,1799,Tükendi,0,"60431 LEGO® City Uzay Keşif Robotu ve Uzaylı Canlı","https://lego.tr/product/60431-lego-city-uzay-kesif-robotu-ve-uzayli-canli"
2445,60430,1159,Mevcut,5,"60430 LEGO® City Yıldızlararası Uzay Gemisi","https://lego.tr/product/60430-lego-city-yildizlararasi-uzay-gemisi"
2453,60428,449,Tükendi,0,"60428 LEGO® City Uzay İnşaat Robotu","https://lego.tr/product/60428-lego-city-uzay-insaat-robotu"
2460,60419,6099,Mevcut,2,"60419 LEGO® City Polis Hapishane Adası","https://lego.tr/product/60419-lego-city-polis-hapishane-adasi"
2468,60411,579,Tükendi,0,"60411 LEGO® City İtfaiye Kurtarma Helikopteri","https://lego.tr/product/60411-lego-city-itfaiye-kurtarma-helikopteri"
2476,60405,729,Tükendi,0,"60405 LEGO® City Acil Kurtarma Helikopteri","https://lego.tr/product/60405-lego-city-acil-kurtarma-helikopteri"
2484,60403,909,Tükendi,0,"60403 LEGO® City Acil Ambulansı ve Snowboardcu","https://lego.tr/product/60403-lego-city-acil-ambulansi-ve-snowboardcu"
2492,60402,869,Tükendi,0,"60402 LEGO® City Mavi Canavar Kamyon","https://lego.tr/product/60402-lego-city-mavi-canavar-kamyon"
2500,60399,479,Tükendi,0,"60399 LEGO® City Yeşil Yarış Arabası","https://lego.tr/product/60399-lego-city-yesil-yaris-arabasi"
2508,30663,299,Tükendi,0,"30663 LEGO® City Uçan Uzay Motosikleti","https://lego.tr/product/30663-lego-city-ucan-uzay-motosikleti"
2512,60325,1019,Tükendi,0,"60325 LEGO City Beton Mikseri","https://lego.tr/product/60325-lego-city-beton-mikseri"
2520,60322,399,Tükendi,0,"60322 LEGO City Yarış Arabası","https://lego.tr/product/60322-lego-city-yaris-arabasi"
2528,60321,3499,Tükendi,0,"60321 LEGO City İtfaiye","https://lego.tr/product/60321-lego-city-itfaiye"
2536,60318,539,Tükendi,0,"60318 LEGO City İtfaiye Helikopteri","https://lego.tr/product/60318-lego-city-itfaiye-helikopteri"
2544,60316,3899,Mevcut,3,"60316 LEGO City Polis Merkezi","https://lego.tr/product/60316-lego-city-polis-merkezi"
2552,5169,199,Tükendi,0,"30570 LEGO City Vahşi Hayvan Kurtarma Hoverkraftı","https://lego.tr/product/30570-lego-city-vahsi-hayvan-kurtarma-hoverkrafti"
2555,4835,909,Tükendi,0,"60287 LEGO City Traktör","https://lego.tr/product/60287-tractor"
2563,60353,1399,Tükendi,0,"60353 LEGO City Vahşi Hayvan Kurtarma Görevleri","https://lego.tr/product/60353-lego-city-vahsi-hayvan-kurtarma-gorevleri"
2570,60381,1999,Tükendi,0,"60381 LEGO® City Yılbaşı Takvimi 2023","https://lego.tr/product/60381-lego-city-yilbasi-takvimi-2023"
2581,75349,4199,Mevcut,12,"75349 LEGO® Star Wars™ Yüzbaşı Rex™ Kaskı","https://lego.tr/product/75349-lego-star-wars-yuzbasi-rex-kaski"
2588,75435,9099,Mevcut,1,"75435 LEGO® Star Wars™ Felucia Savaşı Ayrılıkçı TNG","https://lego.tr/product/75435-lego-star-wars-felucia-savasi-ayrilikci-tng"
2596,75434,5399,Tükendi,0,"75434 LEGO® Star Wars™ K-2SO™ Güvenlik Droidi","https://lego.tr/product/75434-lego-star-wars-k-2so-guvenlik-droidi"
2604,75433,4199,Mevcut,1,"75433 LEGO® Star Wars™ Jango Fett'in Starship’i","https://lego.tr/product/75433-lego-star-wars-jango-fettin-starshipi"
2612,75432,3899,Mevcut,10,"75432 LEGO® Star Wars™ V-19 Torrent Starfighter","https://lego.tr/product/75432-lego-star-wars-v-19-torrent-starfighter"
2620,75431,2399,Tükendi,0,"75431 LEGO® Star Wars™ 327. Star Corps Klon Trooper Savaş Paketi","https://lego.tr/product/75431-lego-star-wars-327-star-corps-klon-trooper-savas-paketi"
